,id,agency,code_parts,composite_element,description,element_id,group_begin_end,group_req_designator,group_requirement_designator_id,hash_flag,maximum_length,minimum_length,position,release,repeat_factor,requirement_designator,rules,segment_id,sub_element_req_designator,tracking_flag,type,version
687309,687310,X,,False,YES/NO CONDITION OR RESPONSE CODE,1073,,,,,1,1,1,0,1,M,,AAA,M,,ID,006010
687310,687311,X,,False,AGENCY QUALIFIER CODE,0559,,,,,2,2,2,0,1,O,,AAA,O,,ID,006010
687311,687312,X,,False,REJECT REASON CODE,0901,,,,,2,2,3,0,1,O,,AAA,O,,ID,006010
687312,687313,X,,False,FOLLOW-UP ACTION CODE,0889,,,,,1,1,4,0,1,O,,AAA,O,,ID,006010
687313,687314,X,,False,ACCOUNT RELATIONSHIP CODE,1636,,,,,2,1,1,0,1,O,,ACD,O,,ID,006010
687314,687315,X,,False,RATING REMARKS CODE,0650,,,,,2,2,2,0,1,O,,ACD,O,,ID,006010
687315,687316,X,,False,LOAN TYPE CODE,1262,,,,,2,1,3,0,1,O,,ACD,O,,ID,006010
687316,687317,X,,False,LINE ITEM STATUS CODE,0668,,,,,2,2,1,0,1,M,,ACK,M,,ID,006010
687317,687318,X,,False,QUANTITY,0380,,,,,15,1,2,0,1,C,P  002003,ACK,C,,R,006010
687318,687319,X,,False,UNIT OR BASIS FOR MEASUREMENT CODE,0355,,,,,2,2,3,0,1,C,,ACK,C,,ID,006010
687319,687320,X,,False,DATE/TIME QUALIFIER,0374,,,,,3,3,4,0,1,O,C  004005,ACK,O,,ID,006010
687320,687321,X,,False,DATE,0373,,,,,8,8,5,0,1,C,,ACK,C,,DT,006010
687321,687322,X,,False,REQUEST REFERENCE NUMBER,0326,,,,,45,1,6,0,1,O,,ACK,O,,AN,006010
687322,687323,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,7,0,1,C,P  007008,ACK,C,,ID,006010
687323,687324,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,8,0,1,C,,ACK,C,,AN,006010
687324,687325,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,9,0,1,C,P  009010,ACK,C,,ID,006010
687325,687326,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,10,0,1,C,,ACK,C,,AN,006010
687326,687327,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,11,0,1,C,P  011012,ACK,C,,ID,006010
687327,687328,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,12,0,1,C,,ACK,C,,AN,006010
687328,687329,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,13,0,1,C,P  013014,ACK,C,,ID,006010
687329,687330,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,14,0,1,C,,ACK,C,,AN,006010
687330,687331,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,15,0,1,C,P  015016,ACK,C,,ID,006010
687331,687332,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,16,0,1,C,,ACK,C,,AN,006010
687332,687333,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,17,0,1,C,P  017018,ACK,C,,ID,006010
687333,687334,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,18,0,1,C,,ACK,C,,AN,006010
687334,687335,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,19,0,1,C,P  019020,ACK,C,,ID,006010
687335,687336,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,20,0,1,C,,ACK,C,,AN,006010
687336,687337,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,21,0,1,C,P  021022,ACK,C,,ID,006010
687337,687338,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,22,0,1,C,,ACK,C,,AN,006010
687338,687339,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,23,0,1,C,P  023024,ACK,C,,ID,006010
687339,687340,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,24,0,1,C,,ACK,C,,AN,006010
687340,687341,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,25,0,1,C,P  025026,ACK,C,,ID,006010
687341,687342,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,26,0,1,C,,ACK,C,,AN,006010
687342,687343,X,,False,AGENCY QUALIFIER CODE,0559,,,,,2,2,27,0,1,C,P  027028,ACK,C,,ID,006010
687343,687344,X,,False,SOURCE SUBQUALIFIER,0822,,,,,15,1,28,0,1,C,C  028027029,ACK,C,,AN,006010
687344,687345,X,,False,INDUSTRY CODE,1271,,,,,30,1,29,0,1,C,,ACK,C,,AN,006010
687345,687346,X,,False,AMOUNT,0610,,,,,15,1,1,0,1,M,,ACS,M,,N2,006010
687346,687347,X,,False,SPECIAL CHARGE OR ALLOWANCE CODE,0150,,,,,3,3,2,0,1,M,,ACS,M,,ID,006010
687347,687348,X,,False,DESCRIPTION,0352,,,,,80,1,3,0,1,O,,ACS,O,,AN,006010
687348,687349,X,,False,SHIPMENT METHOD OF PAYMENT,0146,,,,,2,2,4,0,1,O,,ACS,O,,ID,006010
687349,687350,X,,False,ACCOUNT NUMBER,0508,,,,,35,1,1,0,1,M,,ACT,M,,AN,006010
687350,687351,X,,False,NAME,0093,,,,,60,1,2,0,1,O,,ACT,O,,AN,006010
687351,687352,X,,False,IDENTIFICATION CODE QUALIFIER,0066,,,,,2,1,3,0,1,C,P  003004,ACT,C,,ID,006010
687352,687353,X,,False,IDENTIFICATION CODE,0067,,,,,80,2,4,0,1,C,,ACT,C,,AN,006010
687353,687354,X,,False,ACCOUNT NUMBER QUALIFIER,0569,,,,,3,1,5,0,1,C,C  005006,ACT,C,,ID,006010
687354,687355,X,,False,ACCOUNT NUMBER,0508,,,,,35,1,6,0,1,C,,ACT,C,,AN,006010
687355,687356,X,,False,DESCRIPTION,0352,,,,,80,1,7,0,1,O,C  007005,ACT,O,,AN,006010
687356,687357,X,,False,PAYMENT METHOD TYPE CODE,0107,,,,,2,1,8,0,1,O,,ACT,O,,ID,006010
687357,687358,X,,False,BENEFIT STATUS CODE,1216,,,,,1,1,9,0,1,O,,ACT,O,,ID,006010
687358,687359,X,,False,INTERCHANGE CONTROL NUMBER,9912,,,,,9,9,1,0,1,M,,AC1,M,,N0,006010
687359,687360,X,,False,INTERCHANGE ACKNOWLEDGEMENT CODE,9917,,,,,1,1,2,0,1,M,,AC1,M,,ID,006010
687360,687361,X,,False,DATE,0373,,,,,8,8,3,0,1,M,,AC1,M,,DT,006010
687361,687362,X,,False,INSTALLMENT GROUP INDICATOR,0713,,,,,2,2,4,0,1,M,,AC1,M,,N0,006010
687362,687363,X,,False,INTERCHANGE ACKNOWLEDGEMENT NOTE CODE,9918,,,,,3,3,5,0,1,O,,AC1,O,,ID,006010
687363,687364,X,,False,ANIMAL DISPOSITION CODE,1606,,,,,2,2,1,0,1,M,,ADI,M,,ID,006010
687364,687365,X,,False,DATE,0373,,,,,8,8,2,0,1,M,,ADI,M,,DT,006010
687365,687366,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,3,0,1,C,P  003004,ADI,C,,N0,006010
687366,687367,X,,False,UNIT OF TIME PERIOD OR INTERVAL,0344,,,,,2,2,4,0,1,C,,ADI,C,,ID,006010
687367,687368,X,,False,ADJUSTMENT APPLICATION CODE,0952,,,,,2,1,1,0,1,M,C  010009,ADJ,M,,ID,006010
687368,687369,X,,False,MONETARY AMOUNT,0782,,,,,18,1,2,0,1,M,C  011009,ADJ,M,,R,006010
687369,687370,X,,False,MONETARY AMOUNT,0782,,,,,18,1,3,0,1,O,C  012009,ADJ,O,,R,006010
687370,687371,X,,False,DATE,0373,,,,,8,8,4,0,1,M,L  013014015,ADJ,M,,DT,006010
687371,687372,X,,False,DATE,0373,,,,,8,8,5,0,1,M,L  014013015,ADJ,M,,DT,006010
687372,687373,X,,False,NUMBER,1470,,,,,9,1,6,0,1,O,L  015013014,ADJ,O,,N0,006010
687373,687374,X,,False,DESCRIPTION,0352,,,,,80,1,7,0,1,O,,ADJ,O,,AN,006010
687374,687375,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,8,0,1,C,P  008009,ADJ,C,,ID,006010
687375,687376,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,9,0,1,C,,ADJ,C,,AN,006010
687376,687377,X,,False,AMOUNT,0610,,,,,15,1,10,0,1,C,L  010011012,ADJ,C,,N2,006010
687377,687378,X,,False,AMOUNT,0610,,,,,15,1,11,0,1,C,L  011010012,ADJ,C,,N2,006010
687378,687379,X,,False,AMOUNT,0610,,,,,15,1,12,0,1,C,L  012010011,ADJ,C,,N2,006010
687379,687380,X,,False,QUANTITY,0380,,,,,15,1,13,0,1,C,C  013009,ADJ,C,,R,006010
687380,687381,X,,False,QUANTITY,0380,,,,,15,1,14,0,1,C,C  014009,ADJ,C,,R,006010
687381,687382,X,,False,QUANTITY,0380,,,,,15,1,15,0,1,C,C  015009,ADJ,C,,R,006010
687382,687383,X,,False,REFERENCE IDENTIFICATION QUALIFIER,0128,,,,,3,2,16,0,1,C,P  016017,ADJ,C,,ID,006010
687383,687384,X,,False,REFERENCE IDENTIFICATION,0127,,,,,80,1,17,0,1,C,C  017009,ADJ,C,,AN,006010
687384,687385,X,,False,PARTURITION STATUS CODE,1619,,,,,1,1,1,0,1,M,,ADT,M,,ID,006010
687385,687386,X,,False,DATE,0373,,,,,8,8,2,0,1,O,,ADT,O,,DT,006010
687386,687387,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,3,0,1,C,P  003004,ADT,C,,N0,006010
687387,687388,X,,False,UNIT OF TIME PERIOD OR INTERVAL,0344,,,,,2,2,4,0,1,C,,ADT,C,,ID,006010
687388,687389,X,,False,DATE,0373,,,,,8,8,5,0,1,O,,ADT,O,,DT,006010
687389,687390,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,6,0,1,C,P  006007,ADT,C,,N0,006010
687390,687391,X,,False,UNIT OF TIME PERIOD OR INTERVAL,0344,,,,,2,2,7,0,1,C,,ADT,C,,ID,006010
687391,687392,X,,False,TIME,0337,,,,,8,4,8,0,1,O,,ADT,O,,TM,006010
687392,687393,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,9,0,1,C,P  009010,ADT,C,,N0,006010
687393,687394,X,,False,UNIT OF TIME PERIOD OR INTERVAL,0344,,,,,2,2,10,0,1,C,,ADT,C,,ID,006010
687394,687395,X,,False,AGENCY QUALIFIER CODE,0559,,,,,2,2,1,0,1,M,,ADV,M,,ID,006010
687395,687396,X,,False,SERVICE CHARACTERISTICS QUALIFIER,1000,,,,,3,2,2,0,1,M,,ADV,M,,AN,006010
687396,687397,X,,False,RANGE MINIMUM,0740,,,,,20,1,3,0,1,O,,ADV,O,,R,006010
687397,687398,X,,False,RANGE MAXIMUM,0741,,,,,20,1,4,0,1,O,,ADV,O,,R,006010
687398,687399,X,,False,CATEGORY,0729,,,,,6,1,5,0,1,O,,ADV,O,,AN,006010
687400,687401,X,,False,SERVICE CHARACTERISTICS QUALIFIER,1000,,,,,3,2,6,0,1,C,P  006007,ADV,C,,AN,006010
687401,687402,X,,False,MEASUREMENT VALUE,0739,,,,,20,1,7,0,1,C,,ADV,C,,R,006010
687402,687403,X,,False,MONETARY AMOUNT,0782,,,,,18,1,1,0,1,M,,ADX,M,,R,006010
687403,687404,X,,False,ADJUSTMENT REASON CODE,0426,,,,,2,2,2,0,1,M,,ADX,M,,ID,006010
687404,687405,X,,False,REFERENCE IDENTIFICATION QUALIFIER,0128,,,,,3,2,3,0,1,C,P  003004,ADX,C,,ID,006010
687405,687406,X,,False,REFERENCE IDENTIFICATION,0127,,,,,80,1,4,0,1,C,,ADX,C,,AN,006010
687406,687407,X,,False,ADJUSTMENT REASON CODE,0426,,,,,2,2,1,0,1,M,,AD1,M,,ID,006010
687407,687408,X,,False,MONETARY AMOUNT,0782,,,,,18,1,2,0,1,O,,AD1,O,,R,006010
687408,687409,X,,False,ADJUSTMENT REASON CODE CHARACTERISTIC,1129,,,,,2,1,3,0,1,O,,AD1,O,,ID,006010
687409,687410,X,,False,FREQUENCY CODE,0594,,,,,1,1,4,0,1,O,,AD1,O,,ID,006010
687410,687411,X,,False,LATE REASON CODE,0009,,,,,2,2,5,0,1,O,,AD1,O,,ID,006010
687411,687412,X,,False,EQUIPMENT DESCRIPTION CODE,0040,,,,,2,2,1,0,1,M,,AEI,M,,ID,006010
687412,687413,X,,False,QUANTITY,0380,,,,,15,1,2,0,1,M,,AEI,M,,R,006010
687413,687414,X,,False,YES/NO CONDITION OR RESPONSE CODE,1073,,,,,1,1,3,0,1,M,,AEI,M,,ID,006010
687414,687415,X,,False,AUTOMATIC EQUIPMENT IDENTIFICATION SITE STATUS CODE,1559,,,,,1,1,1,0,1,M,,AES,M,,ID,006010
687415,687416,X,,False,MOVEMENT TYPE CODE,1557,,,,,1,1,2,0,1,M,,AES,M,,ID,006010
687416,687417,X,,False,TRAIN TERMINATION STATUS CODE,1556,,,,,1,1,3,0,1,M,,AES,M,,ID,006010
687417,687418,X,,False,AUTOMATIC EQUIPMENT IDENTIFICATION CONSIST CONFIDENCE LEVEL CODE,1555,,,,,1,1,4,0,1,M,,AES,M,,ID,006010
687418,687419,X,,False,INDUSTRY CODE,1271,,,,,30,1,5,0,1,O,,AES,O,,AN,006010
687419,687420,X,,False,TYPE OF INCOME CODE,1186,,,,,2,2,1,0,1,M,,AIN,M,,ID,006010
687420,687421,X,,False,FREQUENCY CODE,0594,,,,,1,1,2,0,1,M,,AIN,M,,ID,006010
687421,687422,X,,False,MONETARY AMOUNT,0782,,,,,18,1,3,0,1,M,,AIN,M,,R,006010
687422,687423,X,,False,QUANTITY,0380,,,,,15,1,4,0,1,O,,AIN,O,,R,006010
687423,687424,X,,False,YES/NO CONDITION OR RESPONSE CODE,1073,,,,,1,1,5,0,1,O,,AIN,O,,ID,006010
687424,687425,X,,False,REFERENCE IDENTIFICATION,0127,,,,,80,1,6,0,1,O,,AIN,O,,AN,006010
687425,687426,X,,False,AMOUNT QUALIFIER CODE,0522,,,,,3,1,7,0,1,O,,AIN,O,,ID,006010
687426,687427,X,,False,TAX TREATMENT CODE,1685,,,,,1,1,8,0,1,O,,AIN,O,,ID,006010
687427,687428,X,,False,EARNINGS RATE OF PAY,1687,,,,,15,1,9,0,1,C,P  009010011,AIN,C,,R,006010
687428,687429,X,,False,UNIT OR BASIS FOR MEASUREMENT CODE,0355,,,,,2,2,10,0,1,C,,AIN,C,,ID,006010
687429,687430,X,,False,QUANTITY,0380,,,,,15,1,11,0,1,C,,AIN,C,,R,006010
687430,687431,X,,False,INDUSTRY CODE,1271,,,,,30,1,12,0,1,O,,AIN,O,,AN,006010
687431,687432,X,,False,DESCRIPTION,0352,,,,,80,1,13,0,1,O,,AIN,O,,AN,006010
687432,687433,X,,False,FUNCTIONAL IDENTIFIER CODE,0479,,,,,2,2,1,0,1,M,,AK1,M,,ID,006010
687433,687434,X,,False,GROUP CONTROL NUMBER,0028,,,,,9,1,2,0,1,M,,AK1,M,,N0,006010
687434,687435,X,,False,VERSION / RELEASE / INDUSTRY IDENTIFIER CODE,0480,,,,,12,1,3,0,1,O,,AK1,O,,AN,006010
687435,687436,X,,False,TRANSACTION SET IDENTIFIER CODE,0143,,,,,3,3,1,0,1,M,,AK2,M,,ID,006010
687436,687437,X,,False,TRANSACTION SET CONTROL NUMBER,0329,,,,,9,4,2,0,1,M,,AK2,M,,AN,006010
687437,687438,X,,False,IMPLEMENTATION CONVENTION REFERENCE,1705,,,,,35,1,3,0,1,O,,AK2,O,,AN,006010
687438,687439,X,,False,SEGMENT ID CODE,0721,,,,,3,2,1,0,1,M,,AK3,M,,ID,006010
687439,687440,X,,False,SEGMENT POSITION IN TRANSACTION SET,0719,,,,,10,1,2,0,1,M,,AK3,M,,N0,006010
687440,687441,X,,False,LOOP IDENTIFIER CODE,0447,,,,,4,1,3,0,1,O,,AK3,O,,AN,006010
687441,687442,X,,False,SEGMENT SYNTAX ERROR CODE,0720,,,,,3,1,4,0,1,O,,AK3,O,,ID,006010
687442,687443,X,,False,ELEMENT POSITION IN SEGMENT,0722,G,M,C030,,2,1,1,0,1,M,,AK4,M,,N0,006010
687443,687444,X,,False,COMPONENT DATA ELEMENT POSITION IN COMPOSITE,1528,R,M,C030,,2,1,2,0,0,M,,AK4,O,,N0,006010
687444,687445,X,,False,REPEATING DATA ELEMENT POSITION,1686,,M,C030,,4,1,3,0,0,M,,AK4,O,,N0,006010
687445,687446,X,,False,DATA ELEMENT REFERENCE NUMBER,0725,,,,,4,1,4,0,1,O,,AK4,O,,N0,006010
687446,687447,X,,False,DATA ELEMENT SYNTAX ERROR CODE,0723,,,,,3,1,5,0,1,M,,AK4,M,,ID,006010
687447,687448,X,,False,COPY OF BAD DATA ELEMENT,0724,,,,,99,1,6,0,1,O,,AK4,O,,AN,006010
687448,687449,X,,False,TRANSACTION SET ACKNOWLEDGMENT CODE,0717,,,,,1,1,1,0,1,M,,AK5,M,,ID,006010
687449,687450,X,,False,TRANSACTION SET SYNTAX ERROR CODE,0718,,,,,3,1,2,0,1,O,,AK5,O,,ID,006010
687450,687451,X,,False,TRANSACTION SET SYNTAX ERROR CODE,0718,,,,,3,1,3,0,1,O,,AK5,O,,ID,006010
687451,687452,X,,False,TRANSACTION SET SYNTAX ERROR CODE,0718,,,,,3,1,4,0,1,O,,AK5,O,,ID,006010
687452,687453,X,,False,TRANSACTION SET SYNTAX ERROR CODE,0718,,,,,3,1,5,0,1,O,,AK5,O,,ID,006010
687453,687454,X,,False,TRANSACTION SET SYNTAX ERROR CODE,0718,,,,,3,1,6,0,1,O,,AK5,O,,ID,006010
687454,687455,X,,False,FUNCTIONAL GROUP ACKNOWLEDGE CODE,0715,,,,,1,1,1,0,1,M,,AK9,M,,ID,006010
687455,687456,X,,False,NUMBER OF TRANSACTION SETS INCLUDED,0097,,,,,6,1,2,0,1,M,,AK9,M,,N0,006010
687456,687457,X,,False,NUMBER OF RECEIVED TRANSACTION SETS,0123,,,,,6,1,3,0,1,M,,AK9,M,,N0,006010
687457,687458,X,,False,NUMBER OF ACCEPTED TRANSACTION SETS,0002,,,,,6,1,4,0,1,M,,AK9,M,,N0,006010
687458,687459,X,,False,FUNCTIONAL GROUP SYNTAX ERROR CODE,0716,,,,,3,1,5,0,1,O,,AK9,O,,ID,006010
687459,687460,X,,False,FUNCTIONAL GROUP SYNTAX ERROR CODE,0716,,,,,3,1,6,0,1,O,,AK9,O,,ID,006010
687460,687461,X,,False,FUNCTIONAL GROUP SYNTAX ERROR CODE,0716,,,,,3,1,7,0,1,O,,AK9,O,,ID,006010
687461,687462,X,,False,FUNCTIONAL GROUP SYNTAX ERROR CODE,0716,,,,,3,1,8,0,1,O,,AK9,O,,ID,006010
687462,687463,X,,False,FUNCTIONAL GROUP SYNTAX ERROR CODE,0716,,,,,3,1,9,0,1,O,,AK9,O,,ID,006010
687463,687464,X,,False,AMOUNT QUALIFIER CODE,0522,,,,,3,1,1,0,1,M,,AMT,M,,ID,006010
687464,687465,X,,False,MONETARY AMOUNT,0782,,,,,18,1,2,0,1,M,,AMT,M,,R,006010
687465,687466,X,,False,CREDIT/DEBIT FLAG CODE,0478,,,,,1,1,3,0,1,O,,AMT,O,,ID,006010
687466,687467,X,,False,CODE CATEGORY,1136,,,,,2,2,1,0,1,M,,AM1,M,,ID,006010
687467,687468,X,,False,PRODUCT/SERVICE ID QUALIFIER,0235,,,,,2,2,2,0,1,M,,AM1,M,,ID,006010
687468,687469,X,,False,PRODUCT/SERVICE ID,0234,,,,,80,1,3,0,1,M,,AM1,M,,AN,006010
687469,687470,X,,False,MONETARY AMOUNT,0782,,,,,18,1,4,0,1,O,,AM1,O,,R,006010
687470,687471,X,,False,QUANTITY,0380,,,,,15,1,5,0,1,O,,AM1,O,,R,006010
687471,687472,X,,False,PERCENTAGE AS DECIMAL,0954,,,,,10,1,6,0,1,O,,AM1,O,,R,006010
687472,687473,X,,False,REFERENCE IDENTIFICATION,0127,,,,,80,1,1,0,1,M,,ANI,M,,AN,006010
687473,687474,X,,False,DATE,0373,,,,,8,8,2,0,1,M,,ANI,M,,DT,006010
687474,687475,X,,False,DATE,0373,,,,,8,8,3,0,1,M,,ANI,M,,DT,006010
687475,687476,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,4,0,1,C,P  004005,ANI,C,,N0,006010
687476,687477,X,,False,UNIT OF TIME PERIOD OR INTERVAL,0344,,,,,2,2,5,0,1,C,,ANI,C,,ID,006010
687477,687478,X,,False,REFERENCE IDENTIFICATION,0127,,,,,80,1,6,0,1,O,,ANI,O,,AN,006010
687478,687479,X,,False,REFERENCE IDENTIFICATION,0127,,,,,80,1,7,0,1,O,,ANI,O,,AN,006010
687479,687480,X,,False,DATE,0373,,,,,8,8,8,0,1,O,,ANI,O,,DT,006010
687480,687481,X,,False,REFERENCE IDENTIFICATION,0127,,,,,80,1,9,0,1,O,,ANI,O,,AN,006010
687481,687482,X,,False,OFFSPRING COUNT CODE,1620,,,,,2,2,1,0,1,M,,AOC,M,,ID,006010
687482,687483,X,,False,COUNT,0609,,,,,9,1,2,0,1,M,,AOC,M,,N0,006010
687483,687484,X,,False,DATE,0373,,,,,8,8,3,0,1,C,R  003004,AOC,C,,DT,006010
687484,687485,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,4,0,1,C,P  004005,AOC,C,,N0,006010
687485,687486,X,,False,UNIT OF TIME PERIOD OR INTERVAL,0344,,,,,2,2,5,0,1,C,,AOC,C,,ID,006010
687486,687487,X,,False,YES/NO CONDITION OR RESPONSE CODE,1073,,,,,1,1,1,0,1,M,,AOI,M,,ID,006010
687487,687488,X,,False,REFERENCE IDENTIFICATION,0127,,,,,80,1,2,0,1,M,,AOI,M,,AN,006010
687488,687489,X,,False,GENDER CODE,1068,,,,,1,1,3,0,1,M,,AOI,M,,ID,006010
687489,687490,X,,False,OFFSPRING/FETUS STATUS CODE,1622,,,,,2,2,4,0,1,C,P  004005006,AOI,C,,ID,006010
687490,687491,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,5,0,1,C,,AOI,C,,N0,006010
687491,687492,X,,False,UNIT OF TIME PERIOD OR INTERVAL,0344,,,,,2,2,6,0,1,C,,AOI,C,,ID,006010
687492,687493,X,,False,ANIMAL DISPOSITION CODE,1606,,,,,2,2,7,0,1,C,P  007008,AOI,C,,ID,006010
687493,687494,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,8,0,1,C,P  008009,AOI,C,,N0,006010
687494,687495,X,,False,UNIT OF TIME PERIOD OR INTERVAL,0344,,,,,2,2,9,0,1,C,,AOI,C,,ID,006010
687495,687496,X,,False,REFERENCE IDENTIFICATION,0127,,,,,80,1,10,0,1,O,L  010011012,AOI,O,,AN,006010
687496,687497,X,,False,DATE,0373,,,,,8,8,11,0,1,C,,AOI,C,,DT,006010
687497,687498,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,12,0,1,C,P  012013,AOI,C,,N0,006010
687498,687499,X,,False,UNIT OF TIME PERIOD OR INTERVAL,0344,,,,,2,2,13,0,1,C,,AOI,C,,ID,006010
687499,687500,X,,False,OBSERVATION TYPE CODE,1611,,,,,2,2,1,0,1,M,,AOL,M,,ID,006010
687500,687501,X,,False,DESCRIPTION,0352,,,,,80,1,2,0,1,M,,AOL,M,,AN,006010
687501,687502,X,,False,TISSUE OR SPECIMEN DISPOSITION CODE,1612,,,,,1,1,3,0,1,O,,AOL,O,,ID,006010
687502,687503,X,,False,YES/NO CONDITION OR RESPONSE CODE,1073,,,,,1,1,4,0,1,O,,AOL,O,,ID,006010
687503,687504,X,,False,SUB-LOCATION,1614,,,,,24,1,5,0,1,O,,AOL,O,,AN,006010
687504,687505,X,,False,SUB-LOCATION,1614,,,,,24,1,6,0,1,O,,AOL,O,,AN,006010
687505,687506,X,,False,SUB-LOCATION,1614,,,,,24,1,7,0,1,O,,AOL,O,,AN,006010
687506,687507,X,,False,SURFACE/LAYER/POSITION CODE,0752,,,,,2,2,8,0,1,O,,AOL,O,,ID,006010
687507,687508,X,,False,OBSERVATION DISTRIBUTION,1615,,,,,16,1,1,0,1,O,,AOR,O,,AN,006010
687508,687509,X,,False,OBSERVATION SEVERITY,1616,,,,,17,1,2,0,1,O,,AOR,O,,AN,006010
687509,687510,X,,False,NEOPLASM CODE,1617,,,,,1,1,3,0,1,O,,AOR,O,,ID,006010
687510,687511,X,,False,YES/NO CONDITION OR RESPONSE CODE,1073,,,,,1,1,4,0,1,O,,AOR,O,,ID,006010
687511,687512,X,,False,LINKAGE IDENTIFIER,1618,,,,,4,1,5,0,1,O,,AOR,O,,AN,006010
687512,687513,X,,False,LINKAGE IDENTIFIER,1618,,,,,4,1,6,0,1,O,,AOR,O,,AN,006010
687513,687514,X,,False,YES/NO CONDITION OR RESPONSE CODE,1073,,,,,1,1,7,0,1,O,,AOR,O,,ID,006010
687514,687515,X,,False,TEST PERIOD OR INTERVAL VALUE,1313,,,,,6,1,8,0,1,C,P  008009,AOR,C,,N0,006010
